iter	Passed	Remaining
1261	2266	16562
1262	2267	16558
1263	2269	16554
1264	2271	16550
1265	2272	16547
1266	2274	16545
1267	2275	16541
1268	2277	16539
1269	2279	16538
1270	2282	16541
1271	2284	16541
1272	2285	16539
1273	2287	16535
1274	2288	16531
1275	2290	16531
1276	2292	16529
1277	2294	16529
1278	2296	16527
1279	2298	16525
1280	2300	16523
1281	2301	16521
1282	2303	16518
1283	2304	16515
1284	2306	16513
1285	2308	16511
1286	2310	16509
1287	2312	16510
1288	2314	16508
1289	2315	16506
1290	2317	16502
1291	2318	16497
1292	2320	16495
1293	2322	16491
1294	2323	16487
1295	2325	16483
1296	2326	16481
1297	2328	16477
1298	2329	16474
1299	2331	16472
1300	2333	16469
1301	2334	16464
1302	2336	16459
1303	2337	16454
1304	2338	16450
1305	2340	16448
1306	2342	16446
1307	2343	16442
1308	2345	16438
1309	2346	16434
1310	2348	16430
1311	2349	16426
1312	2351	16422
1313	2352	16418
1314	2354	16416
1315	2355	16413
1316	2357	16410
1317	2359	16406
1318	2360	16402
1319	2362	16398
1320	2363	16395
1321	2365	16391
1322	2366	16386
1323	2367	16381
1324	2369	16377
1325	2371	16376
1326	2372	16374
1327	2375	16376
1328	2376	16371
1329	2378	16368
1330	2379	16364
1331	2381	16359
1332	2382	16354
1333	2383	16349
1334	2385	16345
1335	2386	16343
1336	2388	16343
1337	2390	16343
1338	2392	16340
1339	2394	16336
1340	2395	16333
1341	2397	16332
1342	2399	16330
1343	2400	16326
1344	2402	16324
1345	2404	16321
1346	2405	16317
1347	2407	16314
1348	2408	16309
1349	2409	16304
1350	2411	16300
1351	2415	16315
1352	2417	16313
1353	2418	16308
1354	2419	16302
1355	2421	16297
1356	2422	16293
1357	2423	16289
1358	2425	16284
1359	2426	16279
1360	2427	16274
1361	2429	16268
1362	2430	16264
1363	2431	16260
1364	2433	16254
1365	2434	16251
1366	2435	16245
1367	2437	16245
1368	2439	16240
1369	2440	16234
1370	2441	16229
1371	2442	16224
1372	2444	16219
1373	2445	16213
1374	2446	16207
1375	2447	16202
1376	2449	16197
1377	2450	16192
1378	2451	16187
1379	2453	16183
1380	2454	16179
1381	2456	16176
1382	2457	16173
1383	2459	16168
1384	2460	16164
1385	2461	16158
1386	2462	16153
1387	2464	16148
1388	2465	16143
1389	2466	16138
1390	2467	16132
1391	2469	16127
1392	2470	16123
1393	2472	16119
1394	2473	16114
1395	2474	16110
1396	2475	16104
1397	2477	16099
1398	2478	16094
1399	2479	16089
1400	2481	16084
1401	2482	16081
1402	2483	16077
1403	2485	16074
1404	2486	16070
1405	2488	16065
1406	2489	16060
1407	2490	16056
1408	2492	16051
1409	2493	16046
1410	2494	16041
1411	2496	16037
1412	2497	16033
1413	2498	16028
1414	2500	16025
1415	2501	16021
1416	2503	16017
1417	2504	16013
1418	2506	16009
1419	2507	16005
1420	2508	16000
1421	2509	15995
1422	2511	15990
1423	2512	15985
